SuperHero,SuperPower,IssueResolution
Amazo,Vision - Microscopic,Medical (COVID-19)
Amazo,Super Breath,Medical (COVID-19)
Amazo,Vision - Night,Large Scale Conflict
Amazo,Vision - Heat,Infrastructure Improvements
Amazo,Vision - X-Ray,Medical (COVID-19)
Amazo,Vision - Thermal,Infrastructure Improvements
Ammo,Weapons Master,Large Scale Conflict
Ando Masahashi,Power Augmentation,Medical (COVID-19)
Angel,Agility,Large Scale Conflict
Angel,Accelerated Healing,Medical (COVID-19)
Angel,Durability,Medical (COVID-19)
Angel,Stealth,Miscellaneous
Angel,Flight,Infrastructure Improvements
Angel,Longevity,Medical (COVID-19)
Angel,Super Strength,Infrastructure Improvements
Angel,Stamina,Medical (COVID-19)
Angel,Super Speed,Medical (COVID-19)
Angel,Enhanced Senses,Medical (COVID-19)
Angel,Magic,Miscellaneous
Angel,Immortality,Medical (COVID-19)
Angel,Enhanced Memory,Education Improvements
Angel,Psionic Powers,Drug Addiction
Angel,Enhanced Hearing,Large Scale Conflict
Angel,Gliding,Miscellaneous
Angel,Vision - Telescopic,Large Scale Conflict
Angel,Toxin and Disease Resistance,Medical (COVID-19)
Angel Dust,Agility,Large Scale Conflict
Angel Dust,Super Strength,Infrastructure Improvements
Angel Dust,Stamina,Medical (COVID-19)
Angel Dust,Super Speed,Medical (COVID-19)
Angel Salvadore,Flight,Infrastructure Improvements
Angel Salvadore,Animal Attributes,Miscellaneous
Angel Salvadore,Animal Oriented Powers,Miscellaneous
Angel Salvadore,Regeneration,Medical (COVID-19)
Angel Salvadore,Toxin and Disease Control,Medical (COVID-19)
Angela,Longevity,Medical (COVID-19)
Animal Man,Animal Attributes,Miscellaneous
Animal Man,Telepathy,Education Improvements
Animal Man,Energy Blasts,Infrastructure Improvements
Animal Man,Animal Oriented Powers,Miscellaneous
Animal Man,Empathy,Drug Addiction
Annihilus,Agility,Large Scale Conflict
Annihilus,Durability,Medical (COVID-19)
Annihilus,Flight,Infrastructure Improvements
Annihilus,Super Strength,Infrastructure Improvements
Annihilus,Stamina,Medical (COVID-19)
Annihilus,Super Speed,Medical (COVID-19)
Annihilus,Reflexes,Miscellaneous
Ant-Man,Intelligence,Education Improvements
Ant-Man,Size Changing,Infrastructure Improvements
Ant-Man II,Agility,Large Scale Conflict
Ant-Man II,Stealth,Miscellaneous
Ant-Man II,Intelligence,Education Improvements
Ant-Man II,Super Strength,Infrastructure Improvements
Ant-Man II,Telepathy,Education Improvements
Ant-Man II,Size Changing,Infrastructure Improvements
Ant-Man II,Stamina,Medical (COVID-19)
Ant-Man II,Animal Oriented Powers,Miscellaneous
Ant-Man II,Animal Control,Miscellaneous
Anti-Monitor,Accelerated Healing,Medical (COVID-19)
Anti-Monitor,Dimensional Awareness,Education Improvements
Anti-Monitor,Durability,Medical (COVID-19)
Anti-Monitor,Energy Absorption,Climate Change
Anti-Monitor,Flight,Infrastructure Improvements
Anti-Monitor,Power Augmentation,Medical (COVID-19)
Anti-Monitor,Intelligence,Education Improvements
Anti-Monitor,Super Strength,Infrastructure Improvements
Anti-Monitor,Telepathy,Education Improvements
Anti-Monitor,Energy Blasts,Infrastructure Improvements
Anti-Monitor,Size Changing,Infrastructure Improvements
Anti-Monitor,Darkforce Manipulation,Miscellaneous
Anti-Monitor,Teleportation,Medical (COVID-19)
Anti-Monitor,Energy Beams,Large Scale Conflict
Anti-Monitor,Immortality,Medical (COVID-19)
Anti-Monitor,Invulnerability,Medical (COVID-19)
Anti-Monitor,Energy Constructs,Infrastructure Improvements
Anti-Monitor,Molecular Manipulation,Medical (COVID-19)
Anti-Monitor,Power Suit,Large Scale Conflict
Anti-Monitor,Time Travel,Medical (COVID-19)
Anti-Monitor,Time Manipulation,Medical (COVID-19)
Anti-Monitor,Matter Absorption,Miscellaneous
Anti-Monitor,Reality Warping,Education Improvements
Anti-Spawn,Durability,Medical (COVID-19)
Anti-Spawn,Super Strength,Infrastructure Improvements
Anti-Spawn,Energy Blasts,Infrastructure Improvements
Anti-Spawn,Stamina,Medical (COVID-19)
Anti-Spawn,Teleportation,Medical (COVID-19)
Anti-Spawn,Energy Manipulation,Infrastructure Improvements
Anti-Venom,Accelerated Healing,Medical (COVID-19)
Anti-Venom,Durability,Medical (COVID-19)
Anti-Venom,Danger Sense,Large Scale Conflict
Anti-Venom,Super Strength,Infrastructure Improvements
Anti-Venom,Stamina,Medical (COVID-19)
Anti-Venom,Enhanced Senses,Medical (COVID-19)
Anti-Venom,Shapeshifting,Miscellaneous
Anti-Venom,Camouflage,Large Scale Conflict
Anti-Venom,Reflexes,Miscellaneous
Anti-Venom,Elasticity,Infrastructure Improvements
Anti-Venom,Toxin and Disease Resistance,Medical (COVID-19)
Anti-Venom,Wallcrawling,Infrastructure Improvements
Anti-Venom,Web Creation,Infrastructure Improvements
Anti-Venom,Symbiote Costume,Miscellaneous
Apocalypse,Agility,Large Scale Conflict
Apocalypse,Accelerated Healing,Medical (COVID-19)
Apocalypse,Energy Absorption,Climate Change
Apocalypse,Flight,Infrastructure Improvements
Apocalypse,Power Augmentation,Medical (COVID-19)
Apocalypse,Longevity,Medical (COVID-19)
Apocalypse,Super Strength,Infrastructure Improvements
Apocalypse,Telepathy,Education Improvements
Apocalypse,Energy Blasts,Infrastructure Improvements
Apocalypse,Size Changing,Infrastructure Improvements
Apocalypse,Stamina,Medical (COVID-19)
Apocalypse,Super Speed,Medical (COVID-19)
Apocalypse,Teleportation,Medical (COVID-19)
Apocalypse,Telekinesis,Infrastructure Improvements
Apocalypse,Shapeshifting,Miscellaneous
Apocalypse,Immortality,Medical (COVID-19)
Apocalypse,Reflexes,Miscellaneous
Apocalypse,Invulnerability,Medical (COVID-19)
Apocalypse,Force Fields,Large Scale Conflict
Apocalypse,Natural Armor,Large Scale Conflict
Apocalypse,Molecular Manipulation,Medical (COVID-19)
Apocalypse,Levitation,Infrastructure Improvements
Apocalypse,Biokinesis,Medical (COVID-19)
Aquababy,Underwater breathing,Medical (COVID-19)
Aquababy,Super Strength,Infrastructure Improvements
Aquababy,Water Control,Infrastructure Improvements
Aqualad,Durability,Medical (COVID-19)
Aqualad,Underwater breathing,Medical (COVID-19)
Aqualad,Super Strength,Infrastructure Improvements
Aqualad,Cryokinesis,Climate Change
Aqualad,Telepathy,Education Improvements
Aqualad,Stamina,Medical (COVID-19)
Aqualad,Super Speed,Medical (COVID-19)
Aqualad,Energy Beams,Large Scale Conflict
Aqualad,Magic,Miscellaneous
Aqualad,Enhanced Hearing,Large Scale Conflict
Aqualad,Heat Generation,Infrastructure Improvements
Aqualad,Water Control,Infrastructure Improvements
Aqualad,Vision - Night,Large Scale Conflict
Aquaman,Agility,Large Scale Conflict
Aquaman,Accelerated Healing,Medical (COVID-19)
Aquaman,Cold Resistance,Miscellaneous
Aquaman,Durability,Medical (COVID-19)
Aquaman,Stealth,Miscellaneous
Aquaman,Underwater breathing,Medical (COVID-19)
Aquaman,Longevity,Medical (COVID-19)
Aquaman,Intelligence,Education Improvements
Aquaman,Super Strength,Infrastructure Improvements
Aquaman,Telepathy,Education Improvements
Aquaman,Stamina,Medical (COVID-19)
Aquaman,Super Speed,Medical (COVID-19)
Aquaman,Enhanced Senses,Medical (COVID-19)
Aquaman,Reflexes,Miscellaneous
Aquaman,Invulnerability,Medical (COVID-19)
Aquaman,Enhanced Hearing,Large Scale Conflict
Aquaman,Animal Control,Miscellaneous
Aquaman,Enhanced Sight,Miscellaneous
Aquaman,Heat Resistance,Infrastructure Improvements
Aquaman,Enhanced Smell,Miscellaneous
Aquaman,Water Control,Infrastructure Improvements
Aquaman,Sonar,Miscellaneous
Aquaman,Sub-Mariner,Climate Change
Aquaman,Vision - Night,Large Scale Conflict
Arachne,Agility,Large Scale Conflict
Arachne,Accelerated Healing,Medical (COVID-19)
Arachne,Durability,Medical (COVID-19)
Arachne,Super Strength,Infrastructure Improvements
Arachne,Stamina,Medical (COVID-19)
Arachne,Super Speed,Medical (COVID-19)
Arachne,Reflexes,Miscellaneous
Arachne,Psionic Powers,Drug Addiction
Arachne,Toxin and Disease Resistance,Medical (COVID-19)
Arachne,Enhanced Touch,Medical (COVID-19)
Arachne,Wallcrawling,Infrastructure Improvements
Arachne,Web Creation,Infrastructure Improvements
Archangel,Agility,Large Scale Conflict
Archangel,Accelerated Healing,Medical (COVID-19)
Archangel,Durability,Medical (COVID-19)
Archangel,Flight,Infrastructure Improvements
Archangel,Super Strength,Infrastructure Improvements
Archangel,Stamina,Medical (COVID-19)
Archangel,Gliding,Miscellaneous
Archangel,Vision - Telescopic,Large Scale Conflict
Arclight,Durability,Medical (COVID-19)
Arclight,Super Strength,Infrastructure Improvements
Arclight,Stamina,Medical (COVID-19)
Arclight,Seismic Power,Climate Change
Ardina,Agility,Large Scale Conflict
Ardina,Accelerated Healing,Medical (COVID-19)
Ardina,Cold Resistance,Miscellaneous
Ardina,Durability,Medical (COVID-19)
Ardina,Flight,Infrastructure Improvements
Ardina,Super Strength,Infrastructure Improvements
Ardina,Energy Blasts,Infrastructure Improvements
Ardina,Super Speed,Medical (COVID-19)
Ardina,Enhanced Senses,Medical (COVID-19)
Ardina,Reflexes,Miscellaneous
Ardina,Invulnerability,Medical (COVID-19)
Ardina,Self-Sustenance,Medical (COVID-19)
Ardina,Empathy,Drug Addiction
Ardina,Molecular Manipulation,Medical (COVID-19)
Ardina,Energy Manipulation,Infrastructure Improvements
Ardina,Heat Resistance,Infrastructure Improvements
Ardina,Power Cosmic,Miscellaneous
Ares,Agility,Large Scale Conflict
Ares,Accelerated Healing,Medical (COVID-19)
Ares,Durability,Medical (COVID-19)
Ares,Super Strength,Infrastructure Improvements
Ares,Stamina,Medical (COVID-19)
Ares,Super Speed,Medical (COVID-19)
Ares,Immortality,Medical (COVID-19)
Ares,Reflexes,Miscellaneous
Ariel,Telepathy,Education Improvements
Ariel,Teleportation,Medical (COVID-19)
Armor,Super Strength,Infrastructure Improvements
Armor,Energy Armor,Large Scale Conflict
Armor,Psionic Powers,Drug Addiction
Astro Boy,Flight,Infrastructure Improvements
Astro Boy,Super Strength,Infrastructure Improvements
Astro Boy,Energy Blasts,Infrastructure Improvements
Astro Boy,Super Speed,Medical (COVID-19)
Astro Boy,Weapon-based Powers,Large Scale Conflict
Astro Boy,Enhanced Hearing,Large Scale Conflict
Astro Boy,Vision - Telescopic,Large Scale Conflict
Astro Boy,Omnilingualism,Education Improvements
Atlas,Durability,Medical (COVID-19)
Atlas,Stealth,Miscellaneous
Atlas,Intelligence,Education Improvements
Atlas,Super Strength,Infrastructure Improvements
Atlas,Size Changing,Infrastructure Improvements
Atlas,Stamina,Medical (COVID-19)
Atlas,Super Speed,Medical (COVID-19)
Atlas,Immortality,Medical (COVID-19)
Atlas,Reflexes,Miscellaneous
Atlas,Invulnerability,Medical (COVID-19)
Atlas,Self-Sustenance,Medical (COVID-19)
Atom,Longevity,Medical (COVID-19)
Atom,Super Strength,Infrastructure Improvements
Atom,Duplication,Medical (COVID-19)
Atom,Stamina,Medical (COVID-19)
Atom,Super Speed,Medical (COVID-19)
Atom,Radiation Immunity,Miscellaneous
Atom Girl,Size Changing,Infrastructure Improvements
Atom II,Flight,Infrastructure Improvements
Atom II,Super Strength,Infrastructure Improvements
Atom II,Size Changing,Infrastructure Improvements
Atom II,Density Control,Climate Change
Atom II,Gliding,Miscellaneous
Atom III,Size Changing,Infrastructure Improvements
Atom IV,Intelligence,Education Improvements
Aurora,Accelerated Healing,Medical (COVID-19)
Aurora,Durability,Medical (COVID-19)
Aurora,Flight,Infrastructure Improvements
Aurora,Energy Blasts,Infrastructure Improvements
Aurora,Super Speed,Medical (COVID-19)
Aurora,Reflexes,Miscellaneous
Aurora,Molecular Manipulation,Medical (COVID-19)
Aurora,Light Control,Drug Addiction
Aurora,Illumination,Miscellaneous
Aurora,Molecular Combustion,Infrastructure Improvements
Azazel,Accelerated Healing,Medical (COVID-19)
Azazel,Longevity,Medical (COVID-19)
Azazel,Teleportation,Medical (COVID-19)
Azazel,Dimensional Travel,Miscellaneous
Azazel,Shapeshifting,Miscellaneous
Azazel,Regeneration,Medical (COVID-19)
Azrael,Weapons Master,Large Scale Conflict
Azrael,Super Strength,Infrastructure Improvements
Azrael,Stamina,Medical (COVID-19)
Azrael,Super Speed,Medical (COVID-19)
Azrael,Weapon-based Powers,Large Scale Conflict
Aztar,Flight,Infrastructure Improvements
Aztar,Super Strength,Infrastructure Improvements
Aztar,Telepathy,Education Improvements
Aztar,Stamina,Medical (COVID-19)
Aztar,Astral Travel,Drug Addiction
Aztar,Super Speed,Medical (COVID-19)
Aztar,Teleportation,Medical (COVID-19)
Aztar,Magic,Miscellaneous
Aztar,Invulnerability,Medical (COVID-19)
Aztar,Precognition,Medical (COVID-19)
Aztar,Intangibility,Infrastructure Improvements
Aztar,Illusions,Drug Addiction
Aztar,Invisibility,Miscellaneous
Bananaman,Flight,Infrastructure Improvements
Bananaman,Super Strength,Infrastructure Improvements
Bananaman,Super Speed,Medical (COVID-19)
Bananaman,Invulnerability,Medical (COVID-19)
Bane,Durability,Medical (COVID-19)
Bane,Super Strength,Infrastructure Improvements
Bane,Stamina,Medical (COVID-19)
Bane,Super Speed,Medical (COVID-19)
Bane,Enhanced Memory,Education Improvements
Bane,Reflexes,Miscellaneous
Banshee,Flight,Infrastructure Improvements
Banshee,Audio Control,Miscellaneous
Banshee,Force Fields,Large Scale Conflict
Banshee,Enhanced Hearing,Large Scale Conflict
Banshee,Sonar,Miscellaneous
Banshee,Sonic Scream,Large Scale Conflict
Bantam,Durability,Medical (COVID-19)
Bantam,Super Strength,Infrastructure Improvements
Bantam,Stamina,Medical (COVID-19)
Batgirl,Stealth,Miscellaneous
Batgirl,Marksmanship,Large Scale Conflict
Batgirl,Weapons Master,Large Scale Conflict
Batgirl,Intelligence,Education Improvements
Batgirl,Stamina,Medical (COVID-19)
Batgirl,Weapon-based Powers,Large Scale Conflict
Batgirl,Reflexes,Miscellaneous
Batgirl IV,Agility,Large Scale Conflict
Batgirl IV,Stealth,Miscellaneous
Batgirl IV,Weapons Master,Large Scale Conflict
Batgirl IV,Peak Human Condition,Medical (COVID-19)
Batgirl IV,Toxin and Disease Resistance,Medical (COVID-19)
Batgirl VI,Agility,Large Scale Conflict
Batgirl VI,Marksmanship,Large Scale Conflict
Batgirl VI,Stamina,Medical (COVID-19)
Batgirl VI,Weapon-based Powers,Large Scale Conflict
Batman,Agility,Large Scale Conflict
Batman,Durability,Medical (COVID-19)
Batman,Stealth,Miscellaneous
Batman,Underwater breathing,Medical (COVID-19)
Batman,Marksmanship,Large Scale Conflict
Batman,Weapons Master,Large Scale Conflict
Batman,Intelligence,Education Improvements
Batman,Super Strength,Infrastructure Improvements
Batman,Stamina,Medical (COVID-19)
Batman,Super Speed,Medical (COVID-19)
Batman,Weapon-based Powers,Large Scale Conflict
Batman,Peak Human Condition,Medical (COVID-19)
Batman,Reflexes,Miscellaneous
Batman,Gliding,Miscellaneous
Batman,Power Suit,Large Scale Conflict
Batman,Vision - Night,Large Scale Conflict
Batman,Vision - Infrared,Miscellaneous
Batman II,Agility,Large Scale Conflict
Batman II,Stealth,Miscellaneous
Batman II,Marksmanship,Large Scale Conflict
Batman II,Weapons Master,Large Scale Conflict
Batman II,Intelligence,Education Improvements
Batman II,Stamina,Medical (COVID-19)
Batman II,Weapon-based Powers,Large Scale Conflict
Batman II,Peak Human Condition,Medical (COVID-19)
Battlestar,Agility,Large Scale Conflict
Battlestar,Durability,Medical (COVID-19)
Battlestar,Super Strength,Infrastructure Improvements
Battlestar,Stamina,Medical (COVID-19)
Battlestar,Super Speed,Medical (COVID-19)
Battlestar,Reflexes,Miscellaneous
Batwoman V,Stealth,Miscellaneous
Batwoman V,Marksmanship,Large Scale Conflict
Batwoman V,Weapons Master,Large Scale Conflict
Batwoman V,Intelligence,Education Improvements
Batwoman V,Stamina,Medical (COVID-19)
Batwoman V,Dexterity,Drug Addiction
Beak,Flight,Infrastructure Improvements
Beak,Gliding,Miscellaneous
Beak,Vision - Telescopic,Large Scale Conflict
Beast,Agility,Large Scale Conflict
Beast,Accelerated Healing,Medical (COVID-19)
Beast,Animal Attributes,Miscellaneous
Beast,Intelligence,Education Improvements
Beast,Super Strength,Infrastructure Improvements
Beast,Stamina,Medical (COVID-19)
Beast,Dexterity,Drug Addiction
Beast,Super Speed,Medical (COVID-19)
Beast,Enhanced Senses,Medical (COVID-19)
Beast,Jump,Miscellaneous
Beast,Reflexes,Miscellaneous
Beast,Natural Weapons,Large Scale Conflict
Beast,Wallcrawling,Infrastructure Improvements
Beast,Vision - Night,Large Scale Conflict
Beast Boy,Agility,Large Scale Conflict
Beast Boy,Durability,Medical (COVID-19)
Beast Boy,Flight,Infrastructure Improvements
Beast Boy,Animal Attributes,Miscellaneous
Beast Boy,Super Strength,Infrastructure Improvements
Beast Boy,Size Changing,Infrastructure Improvements
Beast Boy,Super Speed,Medical (COVID-19)
Beast Boy,Animal Oriented Powers,Miscellaneous
Beast Boy,Shapeshifting,Miscellaneous
Beast Boy,Empathy,Drug Addiction
Beast Boy,Natural Armor,Large Scale Conflict
Beast Boy,Natural Weapons,Large Scale Conflict
Beast Boy,Sub-Mariner,Climate Change
Beast Boy,Wallcrawling,Infrastructure Improvements
Ben 10,Omnitrix,Miscellaneous
Ben 10,Shapeshifting,Miscellaneous
Beta Ray Bill,Accelerated Healing,Medical (COVID-19)
Beta Ray Bill,Super Strength,Infrastructure Improvements
Beta Ray Bill,Stamina,Medical (COVID-19)
Beta Ray Bill,Super Speed,Medical (COVID-19)
Beta Ray Bill,Immortality,Medical (COVID-19)
Beta Ray Bill,Invulnerability,Medical (COVID-19)
Beta Ray Bill,Toxin and Disease Resistance,Medical (COVID-19)
Beyonder,Accelerated Healing,Medical (COVID-19)
Beyonder,Dimensional Awareness,Education Improvements
Beyonder,Energy Absorption,Climate Change
Beyonder,Flight,Infrastructure Improvements
Beyonder,Super Strength,Infrastructure Improvements
Beyonder,Telepathy,Education Improvements
Beyonder,Energy Blasts,Infrastructure Improvements
Beyonder,Size Changing,Infrastructure Improvements
Beyonder,Super Speed,Medical (COVID-19)
Beyonder,Teleportation,Medical (COVID-19)
Beyonder,Telekinesis,Infrastructure Improvements
Beyonder,Shapeshifting,Miscellaneous
Beyonder,Immortality,Medical (COVID-19)
Beyonder,Invulnerability,Medical (COVID-19)
Beyonder,Force Fields,Large Scale Conflict
Beyonder,Psionic Powers,Drug Addiction
Beyonder,Energy Manipulation,Infrastructure Improvements
Beyonder,Omnipotent,Infrastructure Improvements
Beyonder,Reality Warping,Education Improvements
Big Barda,Agility,Large Scale Conflict
Big Barda,Durability,Medical (COVID-19)
Big Barda,Flight,Infrastructure Improvements
Big Barda,Longevity,Medical (COVID-19)
Big Barda,Super Strength,Infrastructure Improvements
Big Barda,Stamina,Medical (COVID-19)
Big Barda,Immortality,Medical (COVID-19)
Big Barda,Reflexes,Miscellaneous
Big Barda,Invulnerability,Medical (COVID-19)
Big Barda,Toxin and Disease Resistance,Medical (COVID-19)
Big Daddy,Stamina,Medical (COVID-19)
Big Man,Marksmanship,Large Scale Conflict
Bill Harken,Super Strength,Infrastructure Improvements
