,Name,Full_Name,Alter_Egos,Birthplace,Occupation,Image_url
65,Batgirl IV,Cassandra Cain,No alter egos found.,League of Assassins (exact base is unknown),unknown,https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg
66,Batgirl V,Charlotte Gage-Radcliffe,Misfit,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg
67,Batgirl VI,Stephanie Brown,Spoiler,unknown,College student at Gotham University,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg
68,Batman,Terry McGinnis,No alter egos found.,"Gotham City, 25th Century",unknown,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg
69,Batman,Bruce Wayne,No alter egos found.,"Crest Hill, Bristol Township; Gotham County",Businessman,https://www.superherodb.com/pictures2/portraits/10/100/639.jpg
70,Batman II,Dick Grayson,"Nightwing, Robin",unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg
71,Battlestar,Lemar Hoskins,No alter egos found.,"Chicago, Illinois","Former wrestler, federal operative",https://www.superherodb.com/pictures2/portraits/10/100/231.jpg
72,Batwoman V,Katherine Rebecca Kane,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg
73,Beak,Barnell Bohusk,No alter egos found.,"Cheverly, Maryland",unknown,https://www.superherodb.com/pictures2/portraits/10/100/232.jpg
74,Beast,Henry Philip McCoy,No alter egos found.,"Dunfee, Illinois","Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler",https://www.superherodb.com/pictures2/portraits/10/100/27.jpg
75,Beast Boy,Garfield Mark Logan,No alter egos found.,unknown,"Adventurer, Struggling Actor",https://www.superherodb.com/pictures2/portraits/10/100/640.jpg
76,Beetle,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg
77,Ben 10,Benjamin Kirby Tennyson,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg
78,Beta Ray Bill,Beta Ray Bill (translation of his Korbinite name),No alter egos found.,Burning Galaxy,Guardian of the Korbinite race,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg
79,Beyonder,,No alter egos found.,Created in the Beyond,Former student,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg
80,Big Barda,Barda Free,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg
81,Big Daddy,Damon Macready,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1338.jpg
82,Big Man,Frederick Foswell,No alter egos found.,unknown,"Reporter, professional criminal",https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg
83,Bill Harken,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg
84,Billy Kincaid,Billy Kincaid,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg
85,Binary,Carol Danvers,"Captain Marvel, Warbird","Boston, Massachusetts","Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",https://www.superherodb.com/pictures2/portraits/10/100/30.jpg
86,Bionic Woman,Jamie Sommers,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg
87,Bird-Brain,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg
88,Bird-Man,Henry Hawk,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg
89,Bird-Man II,Achille DiBacco,No alter egos found.,"The Bar with No Name, Medina County, Ohio",unknown,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg
90,Birdman,Ray Randal,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg
91,Bishop,Lucas Bishop,No alter egos found.,A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)",https://www.superherodb.com/pictures2/portraits/10/100/31.jpg
92,Bizarro,Bizarro,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/642.jpg
93,Black Abbott,,No alter egos found.,unknown,"Cult leader, former monk",https://www.superherodb.com/pictures2/portraits/10/100/1049.jpg
94,Black Adam,Teth-Adam,No alter egos found.,"Kahndaq, Egypt",unknown,https://www.superherodb.com/pictures2/portraits/10/100/643.jpg
95,Black Bolt,Blackagar Boltagon,No alter egos found.,"Attilan, Atlantic Ocean",King of the Inhumans,https://www.superherodb.com/pictures2/portraits/10/100/243.jpg
96,Black Canary,Laurel Lance,No alter egos found.,unknown,"Detective/Crime-fighter, Chairperson of the Justice League of America; former florist, judo instructor",https://www.superherodb.com/pictures2/portraits/10/100/1005.jpg
97,Black Canary,Dinah Drake Lance,No alter egos found.,unknown,"Florist, former private investigator",https://www.superherodb.com/pictures2/portraits/10/100/644.jpg
98,Black Cat,Felicia Hardy,No alter egos found.,"Queens, New York","Cat burglar; Private investigator, founder of Cat's Eye Investigations.",https://www.superherodb.com/pictures2/portraits/10/100/32.jpg
99,Black Flash,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg
100,Black Goliath,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/245.jpg
101,Black Knight III,Dane Whitman,No alter egos found.,"Gloucester, Massachusetts","Adventurer, scientist; former crusader",https://www.superherodb.com/pictures2/portraits/10/100/246.jpg
102,Black Lightning,Jefferson Pierce,No alter egos found.,unknown,"Crime Fighter, High School teacher, Former gold-medal-winning Olympic Decathlete, formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.",https://www.superherodb.com/pictures2/portraits/10/100/1128.jpg
103,Black Mamba,Tanya Sealy,No alter egos found.,"Chicago, Illinois","Mercenary, professional criminal, former call girl",https://www.superherodb.com/pictures2/portraits/10/100/1106.jpg
104,Black Manta,David,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10546.jpg
105,Black Panther,T'Challa,No alter egos found.,"Wakanda, Africa","King and Chieftain of Wakanda, scientist; former school teacher",https://www.superherodb.com/pictures2/portraits/10/100/247.jpg
106,Black Widow,Natasha Romanoff,No alter egos found.,unknown,"Adventurer, Intelligence agent, former ballerina",https://www.superherodb.com/pictures2/portraits/10/100/248.jpg
107,Black Widow II,Yelena Belova,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/618.jpg
108,Blackout,,No alter egos found.,unknown,"Assassin, enforcer",https://www.superherodb.com/pictures2/portraits/10/100/1507.jpg
109,Blackwing,Joseph Manfredi,No alter egos found.,Professional Criminal,unknown,https://www.superherodb.com/pictures2/portraits/10/100/249.jpg
110,Blackwulf,Lucian,No alter egos found.,Armechadon,Freedom Fighter,https://www.superherodb.com/pictures2/portraits/10/100/1508.jpg
111,Blade,Eric Brooks,No alter egos found.,"Soho, London,England","Vampire hunter, former private investigator.",https://www.superherodb.com/pictures2/portraits/10/100/33.jpg
112,Blaquesmith,unknown,Vertigo II,unknown,Inventor,https://www.superherodb.com/pictures2/portraits/10/100/34.jpg
113,Bling!,Roxanne Washington,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1349.jpg
114,Blink,Clarice Ferguson,No alter egos found.,Bahamas,"Adventurer, freedom fighter",https://www.superherodb.com/pictures2/portraits/10/100/35.jpg
115,Blizzard,Gregor Shapanka,No alter egos found.,unknown,"Professional criminal, mercenary, engineer, former scientist",https://www.superherodb.com/pictures2/portraits/10/100/899.jpg
116,Blizzard,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/898.jpg
117,Blizzard II,Donald Gill,No alter egos found.,"Newark, Delaware",Adventurer; former mercenary and professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/619.jpg
118,Blob,Frederick J. Dukes,No alter egos found.,"Lubbock, Texas","Former criminal, terrorist, government agent, carnival performer",https://www.superherodb.com/pictures2/portraits/10/100/1119.jpg
119,Bloodaxe,Jackie Lukus,No alter egos found.,unknown,"Architect, former vigilante",https://www.superherodb.com/pictures2/portraits/10/100/1509.jpg
120,Bloodhawk,Lemuel Krug,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1510.jpg
121,Bloodwraith,Sean Dolan,No alter egos found.,unknown,Former squire,https://www.superherodb.com/pictures2/portraits/10/100/186.jpg
122,Blue Beetle,Daniel Garrett,No alter egos found.,unknown,Archaeologist; professor of archaeology,https://www.superherodb.com/pictures2/portraits/10/100/646.jpg
123,Blue Beetle,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1010.jpg
124,Blue Beetle II,Theodore Kord,No alter egos found.,"Chicago, Illinois","Inventor, President of Kord Omniversal, Crimefighter",https://www.superherodb.com/pictures2/portraits/10/100/1008.jpg
125,Blue Beetle III,Jaime Reyes,No alter egos found.,Presumed to be El Paso,Student,https://www.superherodb.com/pictures2/portraits/10/100/1009.jpg
126,Boba Fett,,No alter egos found.,Kamino,Bounty Hunter,https://www.superherodb.com/pictures2/portraits/10/100/10467.jpg
127,Bolt,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1340.jpg
128,Bomb Queen,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1116.jpg
129,Boom-Boom,Tabitha Smith,Meltdown,unknown,"Adventurer, former student, thief",https://www.superherodb.com/pictures2/portraits/10/100/400.jpg
130,Boomer,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/259.jpg
131,Booster Gold,Michael Jon Carter,No alter egos found.,"Gotham City, 25th Century","Superhero, Founder, C.E.O & Chairman of Booster Gold International",https://www.superherodb.com/pictures2/portraits/10/100/647.jpg
132,Box,Roger Bochs,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/864.jpg
133,Box III,Dr. Walter Langowski,No alter egos found.,British Columbia,"Physics professor, former NFL player",https://www.superherodb.com/pictures2/portraits/10/100/37.jpg
134,Box IV,Madison Jeffries,Gemini V,Place of birth unknown,"Inventor, former soldier",https://www.superherodb.com/pictures2/portraits/10/100/38.jpg
135,Brainiac,Vril Dox,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/648.jpg
136,Brainiac 5,Querl Dox,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1183.jpg
137,Brother Voodoo,Jericho Drumm,No alter egos found.,"Port-au-Prince, Haiti",Psychologist Houngan (voodoo priest),https://www.superherodb.com/pictures2/portraits/10/100/39.jpg
138,Brundlefly,Seth Brundle,No alter egos found.,unknown,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/10642.jpg
139,Buffy,Buffy Anne Summers,No alter egos found.,unknown,Slayer ; (formerly) Waitress ; DoubleMeat Palace employee ; Sunnydale High Counselor,https://www.superherodb.com/pictures2/portraits/10/100/10430.jpg
140,Bullseye,Lester,No alter egos found.,unknown,"Assassin, professional criminal, former mercenary",https://www.superherodb.com/pictures2/portraits/10/100/624.jpg
141,Bumblebee,Karen Beecher,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1542.jpg
142,Bumbleboy,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1346.jpg
143,Bushido,Ryuko Orsono,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1541.jpg
144,Cable,Nathan Summers,No alter egos found.,Unrevealed location in the 20th Century United States,"(current) Adventurer, (former) freedom fighter, United States government agent, mercenary, combat instructor for X-Force",https://www.superherodb.com/pictures2/portraits/10/100/40.jpg
145,Callisto,Callisto,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/271.jpg
146,Cameron Hicks,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1528.jpg
147,Cannonball,Samuel Zachery Guthrie,No alter egos found.,"Cumberland County, Kentucky","Adventurer, peacekeeper, former student, mercenary, miner",https://www.superherodb.com/pictures2/portraits/10/100/272.jpg
148,Captain America,Steve Rogers,No alter egos found.,"Manhattan, New York City, New York","Adventurer, federal official, intelligence operative; former soldier, Hydra agent, liaison between S.H.I.E.L.D. and the Avengers, police officer, teacher, sparring partner.",https://www.superherodb.com/pictures2/portraits/10/100/274.jpg
149,Captain Atom,Nathaniel Adam,No alter egos found.,unknown,Former Soldier,https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg
150,Captain Britain,Brian Braddock,No alter egos found.,"Braddock Manor, England","Adventurer, formerly King of Otherworld, scientist",https://www.superherodb.com/pictures2/portraits/10/100/276.jpg
151,Captain Cold,Leonard Snart,No alter egos found.,unknown,Professional Criminal,https://www.superherodb.com/pictures2/portraits/10/100/653.jpg
152,Captain Epic,,No alter egos found.,Canada,Superhero,https://www.superherodb.com/pictures2/portraits/10/100/3.jpg
153,Captain Hindsight,Jack Brolin,No alter egos found.,unknown,Former Superhero; News Reporter,https://www.superherodb.com/pictures2/portraits/10/100/10399.jpg
154,Captain Mar-vell,Mar-Vell,No alter egos found.,The city of Rad-Nam on the planet Kree-Lar in the Kree Galaxy (Greater Magellanic Cloud),"Captain in the Kree space fleet, later adventurer, later ""Protector of the Universe""",https://www.superherodb.com/pictures2/portraits/10/100/654.jpg
155,Captain Marvel,Billy Batson,No alter egos found.,"Fawcett City, United States",unknown,https://www.superherodb.com/pictures2/portraits/10/100/278.jpg
156,Captain Marvel,Carol Danvers,"Binary, Warbird","Boston, Massachusetts","Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",https://www.superherodb.com/pictures2/portraits/10/100/103.jpg
157,Captain Marvel II,Frederick Christopher Freeman,No alter egos found.,unknown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/279.jpg
158,Captain Midnight,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10443.jpg
159,Captain Planet,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1285.jpg
160,Captain Universe,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/855.jpg
161,Carnage,Cletus Kasady,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/187.jpg
162,Cat,Shirlee Bryant,No alter egos found.,"Chicago, Illinois",Model,https://www.superherodb.com/pictures2/portraits/10/100/904.jpg
163,Cat II,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/903.jpg
164,Catwoman,Selina Kyle,No alter egos found.,Gotham City,Thief,https://www.superherodb.com/pictures2/portraits/10/100/659.jpg
165,Cecilia Reyes,Dr. Cecilia Reyes,No alter egos found.,Place of birth unknown,Doctor in private practice,https://www.superherodb.com/pictures2/portraits/10/100/43.jpg
166,Century,,No alter egos found.,unknown,"Tracker, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg
167,Cerebra,Shakti Haddad,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg
168,Chamber,Jonothon Evan Starsmore,No alter egos found.,United Kingdom,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg
169,Chameleon,Dmitri Anatoly Smerdyakov Kravinoff,No alter egos found.,Russia,unknown,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg
170,Changeling,Kevin Sidney,No alter egos found.,unknown,"Former substitute teacher, adventurer, subversive",https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg
171,Cheetah,Priscilla Rich,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg
172,Cheetah II,Deborah Domaine,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/925.jpg
173,Cheetah III,Barbara Minerva,No alter egos found.,unknown,"Archaeologist, Anthropologist",https://www.superherodb.com/pictures2/portraits/10/100/926.jpg
174,Chromos,Bernard Embers,No alter egos found.,"London, England","Bar owner and Entertainer, President of V.E., Lieutenant in the G.V.W.",https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg
175,Chuck Norris,Carlos Ray Norris,No alter egos found.,"Ryan, Oklahoma, United States",unknown,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg
176,Citizen Steel,Nathan Heywood,No alter egos found.,unknown,"Adventurer, former Professional Football Player",https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg
177,Claire Bennet,Claire Bennet,No alter egos found.,unknown,"High school student, cheerleader",https://www.superherodb.com/pictures2/portraits/10/100/941.jpg
178,Clea,Clea,No alter egos found.,The Dark Dimension,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg
179,Cloak,Tyrone Johnson,No alter egos found.,"South Boston, Massachusetts",Vigilante,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg
180,Clock King,William Tockman,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg
181,Cogliostro,Cain,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg
182,Colin Wagner,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg
183,Colossal Boy,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg
184,Colossus,Piotr Nikolaievitch Rasputin,No alter egos found.,"Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","(current) Adventurer, student, (former) Artist",https://www.superherodb.com/pictures2/portraits/10/100/48.jpg
185,Copycat,Vanessa Carlysle,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg
186,Corsair,Christopher Summers,No alter egos found.,unknown,"Pirate, former pilot",https://www.superherodb.com/pictures2/portraits/10/100/49.jpg
